iter	Passed	Remaining
171	481	2317
172	483	2313
173	486	2308
174	489	2307
175	493	2310
176	497	2312
177	499	2308
178	502	2302
179	504	2300
180	508	2300
181	511	2299
182	514	2298
183	517	2294
184	520	2291
185	525	2299
186	528	2297
187	531	2296
188	534	2292
189	538	2294
190	541	2293
191	544	2292
192	547	2288
193	549	2284
194	553	2284
195	557	2285
196	560	2283
197	562	2279
198	565	2275
199	568	2273
200	572	2274
201	575	2272
202	577	2269
203	580	2264
204	582	2259
205	586	2259
206	589	2257
207	591	2252
208	593	2247
209	595	2242
210	597	2235
211	600	2233
212	603	2231
213	606	2225
214	607	2219
215	609	2213
216	611	2207
217	613	2200
218	617	2201
219	621	2201
220	622	2195
221	624	2189
222	626	2184
223	628	2178
224	631	2174
225	634	2173
226	636	2168
227	638	2162
228	640	2156
229	642	2150
230	644	2144
231	646	2139
232	649	2136
233	651	2131
234	653	2125
235	654	2120
236	656	2114
237	658	2109
238	660	2104
239	663	2102
240	666	2100
241	669	2095
242	670	2089
243	672	2084
244	674	2079
245	676	2074
246	680	2073
247	682	2068
248	684	2064
249	686	2060
250	688	2055
251	690	2050
252	692	2045
253	696	2045
254	698	2041
255	701	2037
256	702	2032
257	705	2027
258	706	2022
259	709	2018
260	711	2015
261	714	2011
262	715	2006
263	717	2001
264	719	1996
265	721	1992
266	723	1987
267	727	1986
268	729	1982
269	731	1978
270	733	1973
271	735	1968
272	737	1963
273	739	1959
274	742	1956
275	744	1952
276	746	1947
277	748	1943
278	750	1938
279	752	1933
280	754	1929
281	756	1925
282	759	1924
283	761	1921
284	763	1916
285	765	1912
286	767	1907
287	769	1903
288	772	1899
289	775	1897
290	777	1893
291	778	1888
292	780	1884
293	782	1879
294	784	1875
295	786	1871
296	789	1868
297	791	1865
298	794	1861
299	795	1857
300	797	1852
301	799	1848
302	801	1844
303	803	1840
304	807	1839
305	809	1835
306	811	1831
307	813	1826
308	815	1822
309	817	1818
310	818	1814
311	822	1813
312	824	1809
313	826	1805
314	828	1801
315	830	1797
316	832	1793
317	834	1789
318	837	1787
319	839	1784
320	841	1780
321	843	1776
322	845	1772
323	847	1768
324	849	1764
325	851	1760
326	854	1759
327	856	1755
328	858	1751
329	860	1747
330	862	1743
331	864	1739
332	866	1735
333	869	1734
334	871	1730
335	873	1726
336	875	1722
337	877	1718
338	879	1714
339	881	1710
340	884	1709
341	886	1706
342	888	1702
343	891	1699
344	893	1695
345	895	1692
346	897	1688
347	899	1685
348	902	1682
349	904	1680
350	906	1676
351	908	1672
352	910	1668
353	912	1665
354	915	1663
355	918	1661
356	921	1659
357	924	1657
358	926	1653
359	928	1651
360	932	1650
361	935	1649
362	938	1646
363	941	1645
364	944	1643
365	949	1644
366	952	1643
367	955	1641
368	958	1639
369	962	1638
370	966	1638
371	969	1637
372	972	1634
373	976	1633
374	979	1633
375	983	1631
376	985	1628
377	987	1625
378	990	1622
379	992	1618
380	995	1617
381	997	1614
382	1000	1612
383	1002	1608
384	1004	1605
385	1006	1601
386	1009	1599
387	1012	1597
388	1014	1594
389	1016	1590
390	1019	1587
391	1021	1583
392	1023	1580
393	1025	1577
394	1028	1574
395	1030	1571
396	1032	1567
397	1034	1564
398	1036	1561
399	1038	1557
400	1040	1554
401	1043	1551
402	1045	1548
403	1047	1544
404	1049	1541
405	1051	1538
406	1053	1535
407	1055	1531
408	1058	1529
409	1060	1526
410	1062	1522
411	1064	1519
412	1066	1515
413	1068	1512
414	1070	1509
415	1072	1505
416	1075	1503
417	1077	1499
418	1079	1497
419	1081	1493
420	1083	1490
421	1085	1486
422	1087	1483
423	1090	1480
424	1092	1477
425	1094	1474
426	1096	1470
427	1097	1467
428	1099	1463
429	1101	1460
430	1103	1457
431	1107	1455
432	1109	1453
433	1111	1450
434	1113	1446
435	1115	1443
436	1117	1439
437	1119	1436
438	1122	1434
439	1124	1431
440	1126	1428
441	1128	1424
442	1130	1421
443	1132	1418
444	1134	1414
445	1137	1412
446	1139	1410
447	1141	1406
448	1143	1403
449	1145	1400
450	1147	1396
451	1149	1393
452	1151	1390
453	1154	1388
454	1156	1385
455	1158	1382
456	1160	1379
457	1162	1376
458	1164	1372
459	1166	1369
460	1170	1368
461	1172	1365
462	1175	1363
463	1177	1360
464	1180	1358
465	1184	1357
466	1187	1354
467	1190	1353
468	1193	1350
469	1195	1348
470	1198	1345
471	1202	1344
472	1205	1343
473	1208	1341
474	1211	1338
475	1213	1336
476	1217	1334
477	1219	1332
478	1222	1329
479	1224	1326
480	1226	1323
481	1229	1320
482	1232	1319
483	1235	1316
484	1237	1314
485	1239	1311
486	1242	1308
487	1245	1306
488	1249	1305
489	1251	1302
490	1254	1300
491	1256	1297
492	1258	1294
493	1261	1291
494	1265	1290
495	1267	1288
496	1270	1285
497	1272	1283
498	1276	1281
499	1280	1280
500	1283	1278
501	1286	1276
502	1289	1273
503	1292	1271
504	1295	1270
505	1298	1268
506	1301	1265
507	1304	1263
508	1307	1261
509	1311	1260
510	1314	1257
511	1317	1255
512	1319	1252
513	1321	1249
514	1324	1246
515	1327	1244
516	1329	1242
517	1331	1238
518	1333	1235
519	1335	1232
520	1337	1229
521	1339	1226
522	1341	1223
523	1344	1221
524	1346	1218
525	1348	1215
526	1350	1212
527	1352	1208
528	1354	1205
529	1356	1202
530	1359	1200
531	1361	1198
532	1363	1194
533	1365	1191
534	1367	1188
535	1369	1185
536	1371	1182
537	1374	1180
538	1377	1178
539	1379	1175
540	1381	1172
541	1383	1169
542	1385	1166
543	1387	1163
544	1390	1161
545	1393	1158
546	1395	1155
547	1397	1152
548	1399	1149
549	1401	1146
550	1403	1143
551	1406	1141
552	1408	1138
553	1410	1135
554	1412	1132
555	1414	1129
556	1416	1126
557	1418	1123
558	1420	1120
559	1423	1118
560	1425	1115
561	1427	1112
562	1429	1109
563	1431	1106
564	1433	1103
565	1435	1100
566	1438	1098
567	1440	1095
568	1442	1092
569	1444	1089
570	1446	1086
571	1448	1083
572	1450	1080
573	1453	1078
574	1455	1076
575	1457	1073
576	1459	1070
577	1462	1067
578	1464	1065
579	1467	1062
580	1470	1060
581	1472	1057
582	1474	1054
583	1477	1052
584	1479	1049
585	1481	1046
586	1483	1043
587	1486	1041
588	1489	1039
589	1491	1036
590	1493	1033
591	1494	1030
592	1497	1027
593	1498	1024
594	1502	1022
595	1504	1019
596	1506	1016
597	1508	1014
598	1510	1011
599	1512	1008
600	1514	1005
601	1517	1003
602	1519	1000
603	1521	997
604	1523	994
605	1525	992
606	1527	989
607	1529	986
608	1532	984
609	1535	981
610	1537	978
611	1539	975
612	1541	972
613	1543	970
614	1545	967
615	1547	964
616	1549	962
617	1551	959
618	1553	956
619	1555	953
620	1557	950
621	1559	947
622	1561	945
623	1564	942
624	1566	940
625	1568	937
626	1570	934
627	1572	931
628	1574	928
629	1576	925
630	1578	923
631	1581	921
632	1583	918
633	1585	915
634	1587	912
635	1589	909
636	1591	907
637	1593	904
638	1597	902
639	1599	899
640	1601	897
641	1603	894
642	1605	891
643	1607	888
644	1609	885
645	1612	883
646	1615	881
647	1616	878
648	1618	875
649	1620	872
650	1622	869
651	1624	866
652	1627	864
653	1630	862
654	1632	860
655	1635	857
656	1637	854
657	1639	851
658	1641	849
659	1644	846
660	1646	844
661	1648	841
662	1650	838
663	1652	836
664	1654	833
665	1657	831
666	1660	828
667	1662	826
668	1664	823
669	1666	820
670	1668	818
671	1670	815
672	1672	812
673	1675	810
674	1677	807
675	1680	805
676	1682	802
677	1684	799
678	1685	797
679	1688	794
680	1691	792
681	1694	789
682	1696	787
683	1698	784
684	1700	782
685	1702	779
686	1705	777
687	1708	774
688	1710	771
689	1712	769
690	1714	766
691	1716	763
692	1718	761
693	1721	758
694	1723	756
695	1725	753
696	1727	751
697	1729	748
698	1731	745
699	1734	743
700	1737	740
701	1739	738
702	1741	735
703	1743	733
704	1745	730
705	1747	727
706	1749	725
707	1751	722
708	1754	719
709	1756	717
710	1758	714
711	1760	712
712	1762	709
713	1764	706
714	1766	704
715	1769	701
716	1771	699
717	1773	696
718	1775	693
719	1777	691
720	1779	688
721	1781	686
722	1784	683
723	1787	681
724	1789	678
725	1791	675
726	1793	673
727	1795	670
728	1797	668
729	1799	665
730	1802	663
731	1804	660
732	1807	658
733	1809	655
734	1811	653
735	1814	650
736	1817	648
737	1819	645
738	1821	643
739	1823	640
740	1825	637
741	1827	635
742	1829	632
743	1832	630
744	1835	628
745	1837	625
746	1839	623
747	1841	620
748	1843	617
749	1845	615
750	1848	612
751	1851	610
752	1854	608
753	1855	605
754	1857	602
755	1860	600
756	1862	597
757	1865	595
758	1868	593
759	1870	590
760	1873	588
761	1875	585
762	1878	583
763	1881	581
764	1884	578
765	1886	576
766	1888	573
767	1890	571
768	1892	568
769	1895	566
770	1898	563
771	1901	561
772	1902	558
773	1904	556
774	1907	553
775	1909	551
776	1913	549
777	1916	546
778	1919	544
779	1921	542
780	1923	539
781	1928	537
782	1931	535
783	1933	532
784	1935	530
785	1937	527
786	1940	525
787	1943	522
788	1946	520
789	1948	517
790	1950	515
791	1952	512
792	1954	510
793	1957	507
794	1960	505
795	1964	503
796	1966	500
797	1968	498
798	1970	495
799	1972	493
800	1976	490
801	1978	488
802	1981	486
803	1983	483
804	1985	480
805	1987	478
806	1989	475
807	1993	473
808	1995	471
809	1997	468
810	2000	466
811	2002	463
812	2004	461
813	2008	458
814	2010	456
815	2013	453
816	2015	451
817	2017	448
818	2019	446
819	2022	443
820	2025	441
821	2027	439
822	2029	436
823	2031	433
824	2033	431
825	2035	428
826	2038	426
827	2041	424
828	2043	421
829	2045	418
830	2047	416
831	2049	413
832	2051	411
833	2054	408
834	2057	406
835	2059	403
836	2061	401
837	2063	398
838	2065	396
839	2067	393
840	2070	391
841	2072	388
842	2074	386
843	2076	383
844	2078	381
845	2080	378
846	2082	376
847	2086	373
848	2088	371
849	2090	368
850	2092	366
851	2094	363
852	2096	361
853	2098	358
854	2102	356
855	2105	354
856	2107	351
857	2109	349
858	2111	346
859	2113	344
860	2116	341
861	2118	339
862	2120	336
863	2122	334
864	2124	331
865	2126	329
866	2128	326
867	2130	324
868	2134	321
869	2136	319
870	2138	316
871	2140	314
872	2142	311
873	2144	309
874	2146	306
875	2150	304
876	2152	301
877	2154	299
878	2156	296
879	2158	294
880	2160	291
881	2161	289
882	2165	286
883	2167	284
884	2169	281
885	2171	279
886	2172	276
887	2174	274
888	2176	271
889	2179	269
890	2182	266
891	2184	264
892	2186	261
893	2188	259
894	2190	256
895	2192	254
896	2195	252
897	2198	249
898	2199	247
899	2201	244
900	2203	242
901	2205	239
902	2208	237
903	2210	234
904	2213	232
905	2214	229
906	2216	227
907	2218	224
908	2220	222
909	2222	219
910	2224	217
911	2227	214
912	2230	212
913	2232	210
914	2234	207
915	2236	205
916	2238	202
917	2240	200
918	2243	197
919	2245	195
920	2247	192
921	2249	190
922	2251	187
923	2254	185
924	2256	182
925	2259	180
926	2261	178
927	2263	175
928	2265	173
929	2267	170
930	2269	168
931	2271	165
932	2274	163
933	2276	160
934	2278	158
935	2280	155
936	2282	153
937	2284	151
938	2286	148
939	2288	146
940	2291	143
941	2294	141
942	2296	138
943	2298	136
944	2300	133
945	2302	131
946	2304	128
947	2307	126
948	2309	124
949	2311	121
950	2313	119
951	2315	116
952	2317	114
953	2319	111
954	2322	109
955	2324	107
956	2326	104
957	2329	102
958	2330	99
959	2333	97
960	2334	94
961	2338	92
962	2340	89
963	2343	87
964	2345	85
965	2347	82
966	2349	80
967	2351	77
968	2354	75
969	2356	72
970	2359	70
971	2361	68
972	2363	65
973	2365	63
974	2367	60
975	2370	58
976	2372	55
977	2374	53
978	2376	50
979	2378	48
980	2380	46
981	2382	43
982	2386	41
983	2389	38
984	2391	36
985	2393	33
986	2395	31
987	2397	29
988	2399	26
989	2402	24
990	2404	21
991	2406	19
992	2408	16
993	2410	14
994	2412	12
995	2414	9
996	2418	7
997	2420	4
998	2422	2
999	2424	0
