iter	RMSE
432	11133.02015
433	11114.64923
434	11090.38748
435	11088.0034
436	11086.10085
437	11071.67058
438	11046.63687
439	11029.7614
440	11018.39332
441	11005.54313
442	10979.11209
443	10971.06269
444	10956.26348
445	10937.28546
446	10930.0783
447	10907.29474
448	10886.36774
449	10866.35013
450	10843.17716
451	10827.61863
452	10825.57275
453	10811.01549
454	10793.56832
455	10770.13393
456	10765.89745
457	10764.13436
458	10760.84869
459	10737.26053
460	10719.31409
461	10718.17584
462	10695.2216
463	10678.76109
464	10664.835
465	10643.55073
466	10641.45343
467	10624.92816
468	10620.64772
469	10607.91387
470	10606.02528
471	10587.20327
472	10574.73405
473	10548.06279
474	10538.25354
475	10515.54262
476	10496.44266
477	10482.70182
478	10476.57458
479	10468.79642
480	10440.98899
481	10438.53068
482	10416.20591
483	10400.73412
484	10398.22059
485	10375.66941
486	10369.11904
487	10360.34784
488	10358.61517
489	10344.51
490	10341.43131
491	10339.89131
492	10335.16905
493	10322.59378
494	10303.60097
495	10283.6814
496	10260.20181
497	10239.1831
498	10219.34523
499	10217.75139
500	10202.79875
501	10184.5041
502	10168.47702
503	10155.77697
504	10132.69838
505	10125.4355
506	10105.51142
507	10084.27881
508	10068.49748
509	10057.71327
510	10042.63848
511	10028.27322
512	10026.89489
513	10024.09044
514	10022.54645
515	9999.508326
516	9988.818155
517	9986.527675
518	9971.218881
519	9959.146863
520	9941.092775
521	9934.211279
522	9921.922638
523	9909.866672
524	9909.227798
525	9897.202625
526	9876.59755
527	9857.036134
528	9856.301093
529	9841.552476
530	9830.367566
531	9828.985374
532	9816.330267
533	9811.357503
534	9798.561569
535	9797.22379
536	9795.684427
537	9786.212255
538	9777.661836
539	9749.378804
540	9736.043237
541	9734.661605
542	9724.464409
543	9723.058413
544	9708.356561
545	9689.40495
546	9688.290817
547	9668.682527
548	9659.334415
549	9657.77261
550	9641.117021
551	9627.462131
552	9610.486104
553	9604.083145
554	9594.810583
555	9576.550055
556	9555.241536
557	9537.953437
558	9519.377386
559	9512.818467
560	9511.477929
561	9505.221797
562	9486.094068
563	9476.585383
564	9467.409414
565	9460.650734
566	9445.532319
567	9436.009979
568	9435.388958
569	9416.082068
570	9414.846249
571	9395.957852
572	9394.858736
573	9384.361996
574	9366.33323
575	9364.851092
576	9339.747833
577	9330.770424
578	9314.939696
579	9306.310233
580	9278.46833
581	9273.01332
582	9270.62713
583	9252.621021
584	9237.115327
585	9235.152458
586	9215.29026
587	9204.853305
588	9190.735562
589	9183.74238
590	9182.837687
591	9166.11156
592	9146.131529
593	9144.606975
594	9130.759374
595	9114.936767
596	9101.868234
597	9092.646178
598	9080.842738
599	9068.89969
600	9059.629479
601	9055.368748
602	9036.065008
603	9016.920507
604	9003.00749
605	8991.011551
606	8977.917619
607	8961.126058
608	8948.094629
609	8941.844318
610	8936.052677
611	8924.026199
612	8904.47288
613	8899.04863
614	8883.213472
615	8879.028584
616	8870.811648
617	8854.421487
618	8853.419899
619	8843.68315
620	8842.130806
621	8826.540314
622	8818.011758
623	8814.668069
624	8801.838258
625	8799.700301
626	8785.852543
627	8771.168728
628	8765.481177
629	8763.606814
630	8762.560045
631	8750.26685
632	8732.952986
633	8718.803799
634	8699.504062
635	8687.172133
636	8676.551382
637	8663.147795
638	8649.16183
639	8629.060374
640	8613.409981
641	8605.036551
642	8585.050654
643	8573.267112
644	8570.576651
645	8561.041827
646	8542.365734
647	8532.321222
648	8515.727256
649	8513.378598
650	8500.375096
651	8484.750339
652	8472.431896
653	8455.508436
654	8450.071849
655	8433.792649
656	8422.807992
657	8418.997752
658	8408.880158
659	8401.142882
660	8391.629018
661	8381.117436
662	8368.844713
663	8358.003676
664	8346.783756
665	8332.185635
666	8325.779477
667	8314.379401
668	8302.538386
669	8289.955978
670	8281.116427
671	8273.040526
672	8261.774121
673	8247.371006
674	8237.758728
675	8217.130409
676	8201.989878
677	8182.036251
678	8181.243477
679	8170.837514
680	8170.024916
681	8167.267652
682	8149.008186
683	8133.258989
684	8122.745814
685	8114.938086
686	8111.144693
687	8110.348451
688	8095.106796
689	8081.194935
690	8080.015467
691	8066.786147
692	8054.455291
693	8036.372972
694	8027.984711
695	8012.269675
696	7997.549901
697	7990.720717
698	7975.990872
699	7975.51866
700	7958.437155
701	7947.923506
702	7940.290322
703	7925.744947
704	7917.39928
705	7916.520249
706	7905.63498
707	7880.788249
708	7867.103551
709	7863.893818
710	7850.359024
711	7843.382907
712	7842.301206
713	7830.977939
714	7816.262032
715	7803.421989
716	7789.194135
717	7787.623307
718	7772.187279
719	7753.503221
720	7743.894128
721	7742.518561
722	7732.054417
723	7713.532706
724	7703.776003
725	7694.952784
726	7682.970453
727	7667.528114
728	7659.970895
729	7651.896311
730	7638.896922
731	7636.93711
732	7628.458508
733	7614.467218
734	7599.605183
735	7587.940078
736	7586.690411
737	7578.099401
738	7577.430042
739	7567.268387
740	7555.492183
741	7544.632075
742	7530.243255
743	7518.990424
744	7510.238099
745	7507.090438
746	7499.492309
747	7488.128979
748	7485.122837
749	7469.970809
750	7458.473879
751	7447.698727
752	7436.57289
753	7426.672559
754	7417.514351
755	7408.021625
756	7395.104673
757	7390.071351
758	7380.165379
759	7366.003493
760	7357.719296
761	7357.153638
762	7347.515701
763	7337.503895
764	7333.992099
765	7333.326865
766	7328.194877
767	7321.82117
768	7311.909917
769	7303.88907
770	7290.912793
771	7284.286603
772	7275.317552
773	7262.978768
774	7255.816111
775	7243.534595
776	7234.059536
777	7232.96365
778	7217.821816
779	7209.503613
780	7206.984612
781	7192.040945
782	7179.628356
783	7173.412801
784	7161.893078
785	7154.64716
786	7138.833834
787	7131.784041
788	7120.903721
789	7108.323892
790	7097.732058
791	7084.890363
792	7079.848438
793	7070.012147
794	7053.468462
795	7041.433668
796	7034.148565
797	7021.954189
798	7014.114116
799	6999.253724
800	6992.043941
801	6983.804116
802	6973.605522
803	6959.496273
804	6949.660579
805	6937.16587
806	6932.170595
807	6920.486829
808	6911.615385
809	6904.181409
810	6897.178259
811	6889.653358
812	6879.43118
813	6872.017098
814	6868.777435
815	6857.217287
816	6856.714066
817	6853.23393
818	6852.581701
819	6843.640874
820	6834.812634
821	6825.91649
822	6816.591042
823	6805.280801
824	6801.623251
825	6791.070686
826	6778.359514
827	6766.649287
828	6757.529377
829	6743.039417
830	6732.285907
831	6724.959378
832	6724.487148
833	6713.490573
834	6700.133537
835	6686.768632
836	6676.425831
837	6663.525781
838	6652.603817
839	6646.139559
840	6641.54847
841	6632.833945
842	6627.038669
843	6615.695523
844	6608.348763
845	6607.845195
846	6598.507298
847	6589.492117
848	6578.383487
849	6577.475033
850	6570.532521
851	6563.801574
852	6552.775571
853	6541.070741
854	6534.160688
855	6533.318917
856	6519.527027
857	6512.573529
858	6504.463575
859	6492.407143
860	6478.797855
861	6472.460473
862	6465.656317
863	6456.070355
864	6450.775084
865	6441.313369
866	6432.709935
867	6430.375169
868	6429.939
869	6429.29964
870	6428.754471
871	6420.415281
872	6418.904681
873	6408.578617
874	6401.822696
875	6399.013001
876	6391.987339
877	6378.946427
878	6368.934136
879	6359.314405
880	6345.417802
881	6345.000539
882	6344.553303
883	6344.085889
884	6338.101342
885	6329.507142
886	6329.116716
887	6322.896902
888	6316.931442
889	6310.610094
890	6310.305408
891	6297.866466
892	6297.466752
893	6289.39355
894	6284.377726
895	6280.203276
896	6279.810965
897	6277.187127
898	6276.329444
899	6268.997866
900	6263.067927
901	6256.728723
902	6256.421497
903	6245.208986
904	6235.963358
905	6227.885199
906	6217.567452
907	6211.493888
908	6210.949848
909	6204.610986
910	6185.723311
911	6176.664635
912	6176.32214
913	6165.100116
914	6158.807753
915	6153.812891
916	6144.560055
917	6136.143347
918	6123.602068
919	6113.417768
920	6108.483004
921	6099.608227
922	6094.099999
923	6078.745117
924	6074.996324
925	6065.166995
926	6064.711185
927	6056.726793
928	6051.22321
929	6044.509863
930	6034.848898
931	6028.898905
932	6019.656087
933	6016.53683
934	6011.53402
935	6006.350461
936	5996.994701
937	5991.286517
938	5979.633422
939	5974.131842
940	5973.78816
941	5961.085768
942	5950.506326
943	5940.498999
944	5933.544922
945	5923.348096
946	5915.551099
947	5908.371327
948	5900.43989
949	5895.59183
950	5885.601865
951	5884.77972
952	5874.957579
953	5864.803181
954	5856.667791
955	5856.229024
956	5847.737594
957	5837.271578
958	5829.105423
959	5817.566586
960	5813.554016
961	5801.670296
962	5801.342579
963	5795.426345
964	5785.369316
965	5775.422405
966	5770.278169
967	5763.307919
968	5752.408067
969	5746.58248
970	5738.494831
971	5729.764032
972	5720.885054
973	5712.661608
974	5700.229404
975	5691.283867
976	5690.869616
977	5686.256287
978	5685.854077
979	5683.543586
980	5678.009286
981	5669.890152
982	5664.977667
983	5651.317719
984	5651.019218
985	5640.602996
986	5637.37898
987	5632.446674
988	5629.113917
989	5623.265296
990	5615.042481
991	5611.871233
992	5603.377484
993	5596.19059
994	5587.895032
995	5579.71535
996	5570.772848
997	5560.974201
998	5552.437632
999	5548.804726
